id,wave,phase,priority,gate,maps_to,owner,agent,env,action,acceptance,depends_on,effort_h,status
WQ-064,4,T-9,P0,GATE-01,SEC-016,Security,yes,security-staging,SSRF in webhook/integration URL fields,Private IPs rejected,,1.5,pass
WQ-065,4,T-9,P0,GATE-01,SEC-017 HT-0008,Security,yes,security-staging,Executable/polyglot upload vs employee-docs,Non-executable store or reject,,1.5,pass
WQ-066,4,T-8,P0,GATE-16,SEC-028,Security,yes,staging,Low desk role hits platform finance/roles APIs,403 + audit,,1.5,pass
WQ-067,4,T-8,P0,GATE-22,SEC-029 SEC-030,Security,yes,staging,AIMAN prompt other tenant / unauthorized tool,Confirm-required; deny cross-tenant,,1.5,pass
WQ-068,4,T-8,P0,GATE-03,SEC-001 phase14/17,QA,yes,staging,smoke:phase14-ratelimit phase17-login-lockout,Throttle without user mix-up,,1,pass_star
WQ-069,4,T-8,P0,GATE-01,SEC-009 SEC-010,Security,yes,staging,Export/search after tenant switch; back/cache,No foreign rows,,1.5,pass
WQ-070,4,T-8,P0,GATE-03,HT-0019,DevOps + QA,yes,production,Inspect __Host-/__Secure- cookies on three hosts,Secure attributes match policy,,0.5,pass
WQ-080,5,T-8,P0,GATE-18,PERF-003 HT-0568,SRE,ops,perf,k6 login 200 VU ramp; record p95/error/pool,Meets signed SLO or documented gap,WQ-001 WQ-007,3,in_progress
WQ-081,5,T-8,P0,GATE-18,PERF-004,SRE,ops,perf,k6 dashboard 200 VU / 20 tenants,p95 OK; no tenant leak,WQ-007,3,in_progress
WQ-082,5,T-7,P0,GATE-18 GATE-11,PERF-007,SRE + QA,ops,perf,Clock-in spike 1000 req/min,Zero duplicate attendance,,3,in_progress
WQ-083,5,T-7,P0,GATE-18 GATE-13,PERF-010,SRE,ops,perf,Payroll volume 1k synthetic employees,Completes in window; no corrupt run,,3,todo
WQ-084,5,T-7,P0,GATE-18 GATE-08,PERF-014,SRE,ops,perf,Webhook burst 500/min with duplicates,Idempotent; no extra entitlement,,2,todo
WQ-085,5,T-6,P0,GATE-18,PERF-016 HT-0582,SRE,ops,perf,Soak representative mix 8h,No progressive leak,,8,todo
WQ-086,5,T-6,P0,GATE-18,PERF-019 PERF-020 HT-0586,SRE,ops,perf,Stress to knee; recover without DB repair,Breaking point documented,,3,todo
WQ-087,5,T-5,P0,GATE-18,cycle4 p97.5 329ms,Eng Lead,signoff,n/a,If health p95 still >200ms: optimize or change SLO then recertify,GATE-18 Pass or accepted new SLO,WQ-001 WQ-080,1,in_progress
WQ-090,6,T-6,P0,GATE-10,UAT HT-0076,HR SME,ops,UAT,Create import org terminate employee,Signed UAT,,1.5,todo
WQ-091,6,T-6,P0,GATE-11 GATE-12,UAT leave/attendance,HR SME,ops,UAT,Clock correction leave approve/reject/cancel,Signed UAT,,1.5,todo
WQ-092,6,T-5,P0,GATE-13 GATE-14,HUMANIFY_FISCAL_SIGNED_OFF,Payroll SME,ops,UAT,Golden PPh21/BPJS/THR vs 2026 rules + bank file totals,Wet signature,,3,todo
WQ-093,6,T-5,P0,GATE-08 GATE-28,Finance UAT,Finance,ops,UAT,Sandbox order reconcile; live after WQ-010,Finance sign-off,WQ-010,2,todo
WQ-094,6,T-5,P0,GATE-15,ESS UAT,HR SME,ops,UAT,Employee+manager ESS home leave own payslip,Signed UAT,,1.5,todo
WQ-095,6,T-4,P1,GATE-30,HT-0687,QA/A11y,yes,staging,Keyboard-only login + ESS leave form,No keyboard trap on critical path,,1.5,pass_star
WQ-100,7,T-4,P0,GATE-08,Midtrans sandbox,QA + Finance,yes,sandbox,Settlement pending deny expire + invalid signature,Invalid rejected; one business effect,,2,pass_star
WQ-101,7,T-3,P0,GATE-28,GTM-ACC-004,Finance + QA,ops,production,Small real payment; duplicate notify; reconcile,Single entitlement; finance OK,WQ-010 WQ-100,2,blocked
WQ-102,7,T-4,P0,GATE-19,ga-journey trial,Growth + QA,yes,prod-safe,smoke:ga-journey phase1-signup trial + email verify,Tenant activated,,1.5,pass_star
WQ-103,7,T-4,P0,GATE-21,GTM crawl,Product Marketing,yes,production,Crawl / pricing demo checkout vs price-book,Zero claim mismatch,WQ-003 WQ-004,2,pass
WQ-110,8,T-3,P0,GATE-01,idor isolation payslip,QA,yes,prod-safe,smoke:idor tenant-isolation payslip-idor,0 fail,,2,pass
WQ-111,8,T-3,P0,GATE-10 GATE-25,crud uat pages,QA,yes,prod-safe,smoke:functional-crud employees-uat-prod module-pages ga-journey,0 unexpected fail,,2,pass
WQ-112,8,T-3,P0,GATE-13 GATE-14,payroll pack,QA,yes,prod-safe,smoke:payroll-golden fiscal depth payslip-gate,0 fail,,1.5,pass
WQ-113,8,T-3,P0,GATE-08 GATE-09 GATE-22,billing entitlement lab,QA,yes,prod-safe,smoke:billing-idempotency phase2 deny-matrix wave79 lms-lab-gate wave85,0 fail,,1.5,pass
WQ-114,8,T-2,P0,GATE-16 GATE-25,ops admin readiness,QA,yes,production,smoke:ops-host admin-host product-readiness page-crawl,Expected-only fails documented,,1.5,pass
WQ-115,8,T-2,P0,GATE-25,HT-0700+,QA Lead,yes,production,Post-deploy smoke checklist 100%,GATE-25 Pass,,1,pass
WQ-120,9,T-1,P1,GATE-30,BUG-LR-*,QA,yes,docs,Populate sheet defect log from BUG-LR-001..009 + new finds,No empty placeholder bugs,,1,pass
WQ-121,9,T-1,P1,GATE-30,known issues,Product Owner,signoff,n/a,Residual P1/P2 owner workaround date acceptance,GATE-30 Pass — draft in docs/humanify-launch-known-issues.md; PO ticks still open,,1,pass_star
WQ-122,9,T-1,P0,GATE-29,sheet 42 tracker,Launch Manager,signoff,n/a,Fill release certification + product tracker,Evidence links on every P0 gate — 42_Release_Certification.csv + docs/humanify-wave9-release-certification.md; wet signatures open,,1,pass_star
WQ-123,9,T-1,P0,GATE-29 GATE-30,GO rule,Launch Manager,signoff,n/a,GO only if 28/06/18/UAT human PASS else HOLD,Written HOLD 2026-09-09; GO blocked until WQ-010 WQ-032 WQ-087 WQ-090-094 WQ-006,WQ-010 WQ-032 WQ-087 WQ-092 WQ-101,0.5,hold
WQ-130,10,T+1,P0,GATE-25,hypercare synthetic,Ops + QA,ops,production,Daily health deep + login + one attendance/leave read,Green or SEV owned,,0.5,pass_star
WQ-131,10,T0,P0,GATE-24,on-call T+7,CS + Eng,signoff,n/a,7-day on-call roster,Named coverage,WQ-006,0.25,todo
WQ-132,10,T+7,P1,GATE-30,retro,Growth + CS,ops,n/a,Funnel/support/error-budget retro template,Template in docs/humanify-hypercare-retro-template.md; daily fill starts at T0,,1,pass_star
